isbn_searched,publisher,synopsis,language,image,image_original,title_long,dimensions,pages,date_published,subjects,authors,title,isbn13,msrp,binding,isbn,isbn10,other_isbns,dimensions_structured.length.unit,dimensions_structured.length.value,dimensions_structured.width.unit,dimensions_structured.width.value,dimensions_structured.weight.unit,dimensions_structured.weight.value,dimensions_structured.height.unit,dimensions_structured.height.value,edition,dewey_decimal,related.ePub
392325030085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701571749731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704579857729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929979013646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4717702260897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780063257603,William Morrow,"In the vein of The Pisces and The Vegetarian, Chlorine is a debut novel that blurs the line between a literary coming-of-age narrative and a dark unsettling horror tale, told from an adult perspective on the trials and tribulations of growing up in a society that puts pressure on young women and their bodies… a powerful, relevant novel of immigration, sapphic longing, and fierce, defiant becoming.<br/><br/>Ren Yu is a swimmer. Her daily life starts and ends with the pool. Her teammates are her only friends. Her coach is her guiding light. If she swims well enough, she will be scouted, get a scholarship, go to a good school. Her parents will love her. Her coach will be kind to her. She will have a good life.<br/>But these are human concerns. These are the concerns of those confined to land, those with legs. Ren grew up on stories of creatures of the deep, of the oceans and the rivers. Creatures that called sailors to their doom. That dragged them down and drowned them. That feasted on their flesh. The creature that she’s always longed to become: the mermaid.<br/>Ren aches to be in the water. She dreams of the scent of chlorine, the feel of it on her skin. And she will do anything she can to make a life for herself where she can be free. No matter the pain. No matter what anyone else thinks. No matter how much blood she has to spill.",en,https://images.isbndb.com/covers/13780133482210.jpg,https://images.isbndb.com/covers/original/13780133482210.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTEsImlhdCI6MTc0NDc5MTc1MX0.KOO7TZ9GYPlyx2fe6oUGwPgHuw9L7Xi0Q47yWriWS8s,Chlorine: A Novel,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.75 Pounds, Width: 0.89 Inches",256.0,2023-03-28,"['LGBTQ+ Books', 'Literature & Fiction', 'Genre Fiction', 'Science Fiction & Fantasy', 'Fantasy Fiction', 'Historical', 'Horror', 'Coming of Age', 'United States', 'Asian American', 'Literary', 'Mythology & Folk Tales', 'Folklore', 'Fantasy', 'Myths & Legends', 'Dragons & Mythical Creatures']",['Jade Song'],Chlorine: A Novel,9780063257603,0.00,Hardcover,0063257602,0063257602,"[{'isbn': '9780063257627', 'binding': 'printisbncanonical'}]",inches,5.5,inches,0.89,pounds,0.75,inches,8.25,,,
9780063336223,HarperVia,"""Utterly charming, particularly so for cat-lovers, who might argue that every bit of magic here is absolutely true."" —Booklist (starred review)<br/>In this whimsical and inventive debut—perfect for fans of The Guest Cat and Calvino’s Invisible Cities—a young couple’s daily life is disrupted by their newly adopted cat, who soon initiates them into the wondrous world of felines.<br/>Equal parts magical and humorous, Invisible Kitties tells the story of a young couple that one day accidentally comes into possession of a delightful, playful kitten. Bright eyed and bushy tailed, this new companion, aptly named Cat, upturns the routine of the narrator and her husband in their cramped apartment, and soon they find their existence forever altered as they gradually gain insight into the fantastical world of cats.<br/>Every cat contains multitudes... Charting the couple’s ever-evolving relationship with cats –some they live with, others who exist solely in their imagination– Invisible Kitties introduces us to a coterie of extraordinary, physics-defying, death-defying cats. They drop from the sky, they grow from the soil, they transmute. They fly, flow, and evaporate. The young couple’s everyday life, often eclipsed by the drama of cats, offers a gentle glimpse of how joy can suddenly sneak into our lives.<br/>Composed of sixty chapters written in Yu Yoyo’s elegant and witty style along with the author's illustrations— Invisible Kitties is a celebration of ordinary life and the felines we love, deftly playing with the invisible boundaries between reality and imagination.<br/>Translated from the Chinese by Jeremy Tiang",en,https://images.isbndb.com/covers/14566333482210.jpg,https://images.isbndb.com/covers/original/14566333482210.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTIsImlhdCI6MTc0NDc5MTc1Mn0.nVi9s_sJxiEM3Vitk-4aYaFQtpbjnlPhk3_-8yTRRBE,Invisible Kitties: A Feline Study of Fluid Mechanics or The Spurious Incidents of the Cats in the Night-Time,"Height: 7 inches, Length: 5 inches, Weight: 0.40565056208 Pounds, Width: 0.64 inches",256.0,2024-10-01,"['Literature & Fiction', 'Genre Fiction', 'Animals', 'Science Fiction & Fantasy', 'Fantasy', 'Paranormal & Urban', 'Myths & Legends', 'Action & Adventure']",['Yu Yoyo'],Invisible Kitties: A Feline Study of Fluid Mechanics or The Spurious Incidents of the Cats in the Night-Time,9780063336223,0,Paperback,0063336227,0063336227,"[{'isbn': '9780063336230', 'binding': 'printisbncanonical'}]",inches,5.0,inches,0.64,pounds,0.40565056208,inches,7.0,1,,
9780811216180,New Directions,"David Hinton, whose much-acclaimed translations of Li Po and Tu Fu have become classics, now completes the triumvirate of China's greatest poets with The Selected Poems of Wang Wei. Wang Wei (701-761 C.E.) is often spoken of, with his contemporaries Li Po and Tu Fu, as one of the three greatest poets in China's 3,000-year poetic tradition. Of the three, Wang was the consummate master of the short imagistic landscape poem that came to typify classical Chinese poetry. He developed a nature poetry of resounding tranquility wherein deep understanding goes far beyond the words on the page―a poetics that can be traced to his assiduous practice of Ch'an (Zen) Buddhism. But in spite of this philosophical depth, Wang is not a difficult poet. Indeed, he may be the most immediately appealing of China's great poets, and in Hinton's masterful translations he sounds utterly contemporary. Many of his best poems are incredibly concise, composed of only twenty words, and they often turn on the tiniest details: a bird's cry, a splinter of light on moss, an egret's wingbeat. Such imagistic clarity is not surprising since Wang was also one of China's greatest landscape painters. This is a breathtaking poetry, one that in true Zen fashion renders the ten thousand things of this world in such a way that they empty the self even as they shimmer with the clarity of their own self-sufficient identity.",en,https://images.isbndb.com/covers/22545763482476.jpg,https://images.isbndb.com/covers/original/22545763482476.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTQsImlhdCI6MTc0NDc5MTc1NH0.hBxRvbEZTd_yR8d8wgXJC5YtevXodzAZW5UD4L4tBRE,The Selected Poems of Wang Wei,"Height: 9.1 Inches, Length: 6 Inches, Weight: 0.5 Pounds, Width: 0.5 Inches",128.0,2006-06-28,"['Literature & Fiction', 'History & Criticism', 'Regional & Cultural', 'Poetry']","['Wang Wei', 'David Hinton']",The Selected Poems of Wang Wei,9780811216180,16.95,Paperback,0811216187,0811216187,,inches,6.0,inches,0.5,pounds,0.5,inches,9.1,First Edition,,
9780819568328,Wesleyan University Press,"First English critical edition of a bilingual masterpiece with facsimile and facing-page translation<br/><br/>Winner of the MLA's Aldo and Jeanne Scaglione Prize for an Outstanding Translation of a Literary Work (2008)<br/><br/>Victor Segalen has come to be widely recognized in recent years as one of the luminaries of French modernism. Trained as a surgeon and Chinese interpreter, he wrote prolifically in a variety of genres. With this highly original collection of prose poems in French and Chinese, Segalen invented a new genre―the ""stèle-poem""―in imitation of the tall stone tablets with formal inscriptions that he saw in China. His wry persona declaims these inscriptions like an emperor struggling to command his personal empire, drawing from a vast range of Chinese texts to explore themes of friendship, love, desire, gender roles, violence, exoticism, otherness, and selfhood. The result is a linguistically and culturally hybrid modernist poetics that is often ironic and at times haunting. Segalen's bilingual masterwork is presented here fully translated, in the most extensively annotated critical edition ever produced. It includes unpublished manuscript material, newly identified sources, commentaries on the Chinese, and a facsimile of the original edition as printed in Beijing in 1914. Volume 2 of this work is available online at www.wesleyan.edu/wespress/segalen2 and www.steles.org.",en,https://images.isbndb.com/covers/21809873482479.jpg,https://images.isbndb.com/covers/original/21809873482479.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTUsImlhdCI6MTc0NDc5MTc1NX0._RbPm3dlArs0uORPOyPEm3A5xYtMcJqFY_OWfwwwbXY,Stèles (Wesleyan Poetry Series),"Height: 6.26 Inches, Length: 9.21 Inches, Weight: 1.52 Pounds, Width: 1.16 Inches",456.0,2007-06-04,"['Literature & Fiction', 'History & Criticism', 'Regional & Cultural', 'Poetry', 'Reference', 'Words, Language & Grammar']",['Victor Segalen'],Stèles (Wesleyan Poetry Series),9780819568328,39.95,Paperback,0819568325,0819568325,,inches,9.21,inches,1.16,pounds,1.52,inches,6.26,Bilingual Chinese-English ed.,['841/.8'],
9780939010936,Zephyr Press,"“Zhang Er’s poems lead us to another world, dive into the blank of writing and shriek in despair. The eloquence in her poems is a voice debating our time.”—Bei Dao<br/>Zephyr’s second collection of Zhang Er’s poetry, this bilingual edition includes a selection of work from three of her most recent Chinese collections ranging from the late 1990s to the present day.<br/>Zhang Er was born in Beijing, China, and moved to the United States in 1986. She is the author of multiple books in Chinese and English, including Verses On Bird (Zephyr Press, 2004). Er teaches at The Evergreen State College in Olympia, Washington.",zh,https://images.isbndb.com/covers/8546983482522.jpg,https://images.isbndb.com/covers/original/8546983482522.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTYsImlhdCI6MTc0NDc5MTc1Nn0.lzUGuYUGNNyhViQvVFPuTBRT4xK6nJHqHUJsjsaluBM,So Translating Rivers and Cities (Chinese Edition),"Height: 8 Inches, Length: 6.2 Inches, Weight: 0.53131405142 Pounds, Width: 0.5 Inches",144.0,2007-04-01,"['Literature & Fiction', 'History & Criticism', 'Regional & Cultural', 'Poetry', 'Reference', 'Foreign Language Study & Reference']",['Er Zhang'],So Translating Rivers and Cities (Chinese Edition),9780939010936,14,Paperback,0939010933,0939010933,,inches,6.2,inches,0.5,pounds,0.53131405142,inches,8.0,,,
