DATE,QUANTITY,CODECONTENT
2025-03-05 00:59:29 -0500,1,392325030085
2025-03-05 01:42:58 -0500,1,701571749731
2025-03-05 00:32:40 -0500,1,704579857729
2025-04-12 06:27:37 -0400,1,1929979013646
2025-04-12 06:24:34 -0400,2,4717702260897
2025-04-12 05:43:31 -0400,1,9780063257603
2025-04-12 05:45:40 -0400,1,9780063336223
2025-04-12 07:10:11 -0400,1,9780811216180
2025-04-12 06:04:55 -0400,1,9780819568328
2025-03-05 00:46:55 -0500,1,9780939010936
2025-04-12 05:46:12 -0400,1,9780957551138
2025-03-05 20:20:41 -0500,1,9781250768919
2025-04-12 05:44:27 -0400,2,9781590172483
2025-03-05 00:58:36 -0500,1,9781612199092
2025-04-12 06:14:17 -0400,2,9781639887989
2025-04-12 05:43:10 -0400,1,9781681376486
2025-03-05 00:46:38 -0500,1,9781938890932
2025-03-05 00:42:24 -0500,2,9781951627058
2025-03-03 00:32:34 -0500,1,9783966025645
2025-04-12 06:27:45 -0400,1,9784098611171
2025-04-12 06:30:19 -0400,1,9784758439053
2025-03-05 01:49:23 -0500,2,9786263355668
2025-03-05 01:41:58 -0500,1,9786263538948
2025-04-11 23:21:56 -0400,1,9786267113554
2025-03-05 20:29:32 -0500,1,9786267206430
2025-04-12 05:54:02 -0400,1,9787010083834
2025-04-12 07:11:02 -0400,2,9787020002207
2025-04-12 07:10:48 -0400,3,9787020051830
2025-03-05 20:28:34 -0500,1,9787020107438
2025-03-03 00:20:14 -0500,1,9787020116614
2025-03-05 01:04:29 -0500,1,9787020118021
2025-03-03 00:22:07 -0500,1,9787020122318
2025-03-03 00:22:19 -0500,2,9787020129003
2025-03-03 00:06:00 -0500,2,9787020129621
2025-03-03 00:01:43 -0500,1,9787020135004
2025-03-05 00:33:19 -0500,2,9787020135707
2025-03-03 00:01:40 -0500,2,9787020136520
2025-03-03 00:14:51 -0500,2,9787020141869
2025-03-03 00:08:45 -0500,2,9787020143535
2025-03-05 00:33:59 -0500,2,9787020144778
2025-03-03 00:01:36 -0500,2,9787020145003
2025-03-05 00:35:14 -0500,1,9787020145508
2025-03-05 00:35:28 -0500,1,9787020145515
2025-03-05 00:34:06 -0500,2,9787020150687
2025-04-12 06:46:22 -0400,1,9787020152179
2025-04-12 07:12:14 -0400,2,9787020156061
2025-03-05 00:36:05 -0500,2,9787020156290
2025-03-03 00:01:17 -0500,1,9787020157990
2025-03-03 00:25:50 -0500,2,9787020160495
2025-03-03 00:04:57 -0500,1,9787020160617
2025-03-05 01:44:33 -0500,1,9787020165742
2025-03-05 00:34:44 -0500,2,9787020166688
2025-04-11 23:33:29 -0400,2,9787020168699
2025-03-03 00:31:19 -0500,1,9787020169139
2025-04-12 06:24:54 -0400,1,9787020171767
2025-03-05 01:04:09 -0500,2,9787020171972
2025-03-05 20:23:43 -0500,1,9787020172375
2025-03-03 00:27:30 -0500,1,9787020174782
2025-04-12 05:55:41 -0400,1,9787030429513
2025-04-12 05:56:03 -0400,1,9787030447760
2025-04-12 05:55:57 -0400,1,9787030691736
2025-03-05 19:31:17 -0500,1,9787100006392
2025-04-12 06:36:51 -0400,2,9787100037044
2025-04-12 06:52:32 -0400,2,9787100070300
2025-03-03 00:10:44 -0500,2,9787100106276
2025-04-12 06:52:45 -0400,2,9787100128469
2025-03-05 20:36:32 -0500,1,9787100139014
2025-03-05 20:26:44 -0500,3,9787100153683
2025-03-03 00:18:30 -0500,2,9787100157728
2025-03-05 00:34:50 -0500,2,9787100160483
2025-04-12 05:40:50 -0400,2,9787100180450
2025-03-05 20:50:36 -0500,6,9787100182546
2025-03-05 00:42:55 -0500,1,9787100183581
2025-04-12 05:19:23 -0400,2,9787100185691
2025-04-12 06:54:56 -0400,1,9787100200554
2025-04-11 23:25:55 -0400,1,9787100208093
2025-03-05 19:54:56 -0500,1,9787100220767
2025-04-12 05:49:30 -0400,1,9787101066289
2025-04-12 07:09:28 -0400,3,9787101086829
2025-04-12 05:31:29 -0400,1,9787101121575
2025-04-12 07:11:11 -0400,2,9787101124552
2025-03-05 20:26:49 -0500,1,9787101126747
2025-04-12 06:03:27 -0400,1,9787101130560
2025-04-12 07:09:46 -0400,2,9787101133516
2025-03-05 20:27:06 -0500,1,9787101139747
2025-04-12 05:55:11 -0400,3,9787101158113
2025-04-12 06:04:22 -0400,1,9787108050281
2025-03-05 00:49:17 -0500,1,9787108052599
2025-03-05 20:44:05 -0500,1,9787108052971
2025-04-12 06:04:35 -0400,1,9787108052988
2025-04-12 06:04:17 -0400,1,9787108052995
2025-04-12 07:03:03 -0400,1,9787108067302
2025-04-12 07:08:56 -0400,1,9787108067326
2025-04-11 23:27:51 -0400,2,9787108068255
2025-04-12 07:02:04 -0400,2,9787108071521
2025-04-12 05:28:39 -0400,2,9787108071750
2025-04-12 06:04:48 -0400,2,9787108072535
