"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B387YEF4","book","2023","Song, Jade","Chlorine","","978-0-06-325760-3","","","","""Ren Yu is a swimmer. Her daily life starts and ends with the pool. Her teammates are her only friends. Her coach, her guiding light. If she swims well enough, she will be scouted, get a scholarship, go to a good school. Her parents will love her. Her coach will be kind to her. She will have a good life. But these are human concerns. These are the concerns of those confined to land, those with legs. Ren grew up on stories of creatures of the deep, of the oceans and the rivers. Ones that called sailors to their doom. Ones that dragged them down and drowned them. Ones that feasted on their flesh. Ones of the creature that she's always longed to become: mermaid. Ren aches to be in the water. She dreams of the scent of chlorine, the feel of it on her skin. And she will do anything she can to make a life for herself where she can be free. No matter the pain. No matter what anyone else thinks. No matter how much blood she has to spill.""--Book jacket flap","2023","2025-04-21 01:39:20","2025-04-21 01:39:20","","","","","","","","","","","","","William Morrow, an imprint of HarperCollinsPublishers","New York, NY","eng","","","","","Open WorldCat","","OCLC: 1373629489","","","","","","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNMWYBIA","book","2024","Yu, Youyou","Invisible kitties: a feline study of fluid mechanics or the spurious incidents of the cats in the night-time","","978-0-06-333622-3","","","","""In this whimsical and inventive debut-perfect for fans of The Guest Cat and Calvino's Invisible Cities-a young couple's daily life is disrupted by their newly adopted cat, who soon initiates them into the wondrous world of felines. Equal parts magical and humorous, Invisible Kitties tells the story of a young couple that one day accidentally comes into possession of a delightful, playful kitten. Bright eyed and bushy tailed, this new companion, aptly named Cat, upturns the routine of the narrator and her husband in their cramped apartment, and soon they find their existence forever altered as they gradually gain insight into the fantastical world of cats. Every cat contains multitudes... Charting the couple's ever-evolving relationship with cats -some they live with, others who exist solely in their imagination- Invisible Kitties introduces us to a coterie of extraordinary, physics-defying, death-defying cats. They drop from the sky, they grow from the soil, they transmute. They fly, flow, and evaporate. The young couple's everyday life, often eclipsed by the drama of cats, offers a gentle glimpse of how joy can suddenly sneak into our lives. Composed of sixty chapters written in Yu Yoyo's elegant and witty style and complemented by the author's own illustrations- Invisible Kitties is a celebration of ordinary life and the felines we love, deftly playing with the invisible boundaries between reality and imagination. Translated from the Chinese by Jeremy Tiang""-- Provided by publisher","2024","2025-04-21 01:39:21","2025-04-21 01:39:21","","","","","","","","Invisible kitties","","","","","HarperVia, an imprint of HarperCollinsPublishers","New York","eng","","","","","Open WorldCat","","OCLC: 1453505187","","","","","","","","Tiang, Jeremy","","","","","","","","","","","","","","","","","First HarperVia edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P2R5RI4","book","2006","Wang, Wei; Hinton, David","The selected poems of Wang Wei","","978-0-8112-1618-0","","","","","2006","2025-04-21 01:39:22","2025-04-21 01:39:22","","","116","","","","","","","","","","New Directions Book","New York, NY","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATBBW9UI","book","2007","Segalen, Victor; Segalen, Victor","Stèles: = Gu jin bei lu","","978-0-8195-6832-8 978-0-8195-6833-5","","","","","2007","2025-04-21 01:39:24","2025-04-21 01:39:24","","","415","","","","","Stèles","Stèles / Victor Segalen","volume 1","","","Wesleyan University Press","Middletown, CT","eng chi fre","","","","","K10plus ISBN","","","","","","","","Billings, Timothy; Bush, Christopher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKSHLVAN","book","2007","Zhang, Er; Holman, Bob","So translating rivers and cities: selected poems","","978-0-939010-93-6","","","","","2007","2025-04-21 01:39:25","2025-04-21 01:39:25","","","154","","","","","So translating rivers and cities","","","","","Zephyr Press","Brookline, Mass","eng chi","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","1. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLGHJWHD","book","2019","Yu Yoyo ; translated from Chinese by A.K. Blakemore and Dave Haysom = 我空出来的身体 / 余幼幼; 余幼幼, 1990- author","My tenantless body","","978-0-9575511-3-8","","","","","2019","2025-04-21 01:39:26","2025-04-21 01:39:26","","","","","","","","","","","","","Poetry Translation Centre","London","eng","","","","","Open WorldCat","","OCLC: 1253586441","","","","","","","","Blakemore, A. K.; Haysom, Dave","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S86TQ3N9","book","2022","","The way spring arrives and other stories","","978-1-250-76891-9","","","","""From an award-winning team of authors, editors, and translators comes a groundbreaking short story collection that explores the expanse of Chinese science fiction and fantasy. In The Way Spring Arrives and Other Stories, you can dine at a restaurant at the end of the universe, cultivate to immortality in the high mountains, watch roses perform Shakespeare, or arrive at the island of the gods on the backs of giant fish to ensure that the world can bloom. Written, edited, and translated by a female and nonbinary team, these stories have never before been published in English and represent both the richly complicated past and the vivid future of Chinese science fiction and fantasy. Time travel to a winter's day on the West Lake, explore the very boundaries of death itself, and meet old gods and new heroes in this stunning new collection""-- Provided by publisher","2022","2025-04-21 01:39:28","2025-04-21 01:39:28","","","","","","","","","","","","","Tom Doherty Associates","New York, NY","eng","","","","","Open WorldCat","","OCLC: 1289616706","","","","","","Yu, Chen; Wang, Regina Kanyu","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB9ITQD3","book","2007","Wharton, Edith; Robinson, Roxana","The New York stories of Edith Wharton","","978-1-59017-248-3","","","","","2007","2025-04-21 01:39:39","2025-04-21 01:39:39","","","","","","","","","New York review books classics","","","","New York review of books","New York","eng","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6BM2AYG","book","2021","Yan, Ge","Strange beasts of China","","978-1-61219-909-2 978-1-61219-970-2","","","","""From one of the most exciting voices in contemporary Chinese literature, an uncanny and playful bestiary that blurs the line between human and beast ... In the fictional Chinese city of Yong'an, an amateur cryptozoologist is commissioned to uncover the stories of its fabled beasts. These creatures live alongside humans in near-inconspicuousness-save their greenish skin, serrated earlobes, and strange birthmarks. Aided by her elusive former professor and his enigmatic assistant, our narrator sets off to document each beast, and is slowly drawn deeper into a mystery that threatens her very sense of self. Part detective story, part metaphysical inquiry, Strange Beasts of China engages existential questions of identity, humanity, love, and morality with whimsy and stylistic verve. First published in the UK by Tilted Axis""--","2021","2025-04-21 01:39:50","2025-04-21 01:39:50","","","232","","","","","","","","","","Melville House","Brooklyn","eng","","","","","K10plus ISBN","","","","","","","","","","Tiang, Jeremy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCLAZADT","book","2023","ZHU, SUSIE","AMPHITHEATER","","978-1-63988-798-9","","","","","2023","2025-04-21 01:40:02","2025-04-21 01:40:02","","","","","","","","","","","","","ATMOSPHERE PRESS","S.l.","eng","","","","","Open WorldCat","","OCLC: 1375541778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
